newspaper_name,city,state,state_full
Alpharetta Neighbor,Alpharetta,Ga.,Georgia
Citizen,Ortonville,Mich.,Michigan
Star-Gazette,Elmira,N.Y.,New York
Grapevine Courier The,Grapevine,Texas,Texas
Sherburne County Citizen,Becker,Minn.,Minnesota
Your Valley,Utica,N.Y.,New York
Lake Today,Lake Ozark,Mo.,Missouri
Walla Walla Union-Bulletin,Walla Walla,Wash.,Washington
Peninsula Daily News,Port Angeles,Wash.,Washington
Daily Nonpareil,Council Bluffs,Iowa,Iowa
Daily News The,Richmond,Mo.,Missouri
Lake Mills Leader,Lake Mills,Wisc.,Wisconsin
Westerly-Pawtucket Express,Westerly,R.I.,Rhode Island
Groton Times,Groton,Conn.,Connecticut
Dearborn Press & Guide,Dearborn,Mich.,Michigan
Woodbury-South Maplewood Review,Woodbury,Minn.,Minnesota
Opelika-Auburn News,Opelika,Ala.,Alabama
Herald-Palladium,St Joseph,Mich.,Michigan
Putnam County Press,Mahopac,N.Y.,New York
Lake Oswego Review,Lake Oswego,Ore.,Oregon
Eden Prairie News,Eden Prairie,Minn.,Minnesota
Spectrum,St George,Utah,Utah
Placer Herald,Rocklin,Calif.,California
Indianapolis Recorder,Indianapolis,Ind.,Indiana
East Hampton Independent,East Hampton,N.Y.,New York
East Hampton Star,East Hampton,N.Y.,New York
Imperial Valley Press,El Centro,Calif.,California
Florida Keys Keynoter,Marathon,Fla.,Florida
Sandersville Progress & Plus,Sandersville,Ga.,Georgia
Roswell Daily Record,Roswell,N.M.,New Mexico
Lawrence County Record,Mount Vernon,Mo.,Missouri
Richfield Reaper,Richfield,Utah,Utah
Leader-Union,Vandalia,Ill.,Illinois
Marshall Democrat-News,Marshall,Mo.,Missouri
New Lenox Community Reporter,New Lenox,Ill.,Illinois
New Lenox Patriot,New Lenox,Ill.,Illinois
Goose Creek Gazette,Goose Creek,S.C.,South Carolina
Hacienda Heights Highlander,Hacienda Heights,Calif.,California
Mountain Ear,Conway,N.H.,New Hampshire
Mountain Times,Boone,N.C.,North Carolina
Gateway,Floral Park,N.Y.,New York
Aberdeen American News,Aberdeen,S.D.,South Dakota
White Mountain Independent,Show Low,Ariz.,Arizona
Lewisville Leader,Lewisville,Texas,Texas
Beloit Daily News,Beloit,Wisc.,Wisconsin
Globe-Gazette/ Sunday Globe,Mason City,Iowa,Iowa
Rio Grande Sun,Espanola,N.M.,New Mexico
West Roxbury Transcript,Boston,Mass.,Massachusetts
SnoValley Star,Snoqualmie,Wash.,Washington
ThisWeek Olentangy Valley News,Powell,Ohio,Ohio
Bayonne Journal,Jersey City,N.J.,New Jersey
West Central Tribune,Willmar,Minn.,Minnesota
Pioneer,Waconia,Minn.,Minnesota
Sun Chronicle,Attleboro,Mass.,Massachusetts
Liberty Tribune,Liberty,Mo.,Missouri
Walnut Highlander,Walnut,Calif.,California
Herald & News,Klamath Falls,Ore.,Oregon
Daily American,Somerset,Pa.,Pennsylvania
Toledo Journal,Toledo,Ohio,Ohio
Times-News The,Hendersonville,N.C.,North Carolina
New Jersey Herald,Newton,N.J.,New Jersey
Murrysville Star,Murrysville,Pa.,Pennsylvania
Washington County Edition,Salem,Ind.,Indiana
Index-Journal,Greenwood,S.C.,South Carolina
Marion County News Journal,Marion,S.C.,South Carolina
Pulaski County Mirror,St Robert,Mo.,Missouri
Midlothian-Bremen Messenger,Midlothian,Ill.,Illinois
Dade County Sentinel,Trenton,Ga.,Georgia
Rockford Squire,Rockford,Mich.,Michigan
Lewiston-Porter Sentinel,Lewiston,N.Y.,New York
Morning Sentinel/Sunday Sentinel,Waterville,Maine,Maine
Rocky Mount Telegram,Rocky Mount,N.C.,North Carolina
Athens Messenger,Athens,Ohio,Ohio
Wheaton Suburban Life,Wheaton,Ill.,Illinois
New London Times,New London,Conn.,Connecticut
Enterprise,Lexington Park,Md.,Maryland
Deer Park Progress/Deer Park Broadcaster,Deer Park,Texas,Texas
Olean Times-Herald,Olean,N.Y.,New York
Gloucester Mathews Gazette-Journal,Gloucester Courthouse,Va.,Virginia
Gazette,Medina,Ohio,Ohio
Westport Minuteman,Westport,Conn.,Connecticut
Middletown Journal,Middletown,Ohio,Ohio
Rutland Herald,Rutland,Vt.,Vermont
Chronicle,Centralia,Wash.,Washington
Photo Star,Willshire,Ohio,Ohio
Passaic Valley Today,Paterson,N.J.,New Jersey
Daily Journal,Franklin,Ind.,Indiana
Waconia Patriot,Waconia,Minn.,Minnesota
Pataskala Post,Pataskala,Ohio,Ohio
O Jornal,Fall River,Mass.,Massachusetts
Valley Voice The,Middlebury,Vt.,Vermont
MetroWest Daily News,Framingham,Mass.,Massachusetts
Steuben Courier Advocate The,Bath,N.Y.,New York
News-Enterprise,Elizabethtown,Ky.,Kentucky
Hooksett Banner,Hooksett,N.H.,New Hampshire
Press Journal,Englewood,N.J.,New Jersey
Telegraph,Alton,Ill.,Illinois
Greenville Advocate,Greenville,Ala.,Alabama
Western StarThe,Lebanon,Ohio,Ohio
Northside Sun,Jackson,Miss.,Mississippi
The Times Ledger,Queens,N.Y.,New York
Daily Citizen,Dalton,Ga.,Georgia
St Louis Park Sun-Sailor,St Louis Park,Minn.,Minnesota
Item,Sumter,S.C.,South Carolina
Pascack Valley Community Life,Westwood,N.J.,New Jersey
Advocate,Newark,Ohio,Ohio
Lamorinda Sun,Walknut Creek,Calif.,California
Grants Pass Daily Courier,Grants Pass,Ore.,Oregon
Brazoria County News,West Columbia,Texas,Texas
Ponchatoula Times,Ponchatoula,La.,Louisiana
West Texas County Courier,Horizon City,Texas,Texas
Buckeye Valley News,Buckeye,Ariz.,Arizona
Columbus Packet,Columbus,Miss.,Mississippi
Sentinel Weekly News,Corona,Calif.,California
Lexington County Chronicle,Lexington,S.C.,South Carolina
Wilmington Journal,Wilmington,N.C.,North Carolina
Today's News-Herald,Lake Havasu City,Ariz.,Arizona
Appalachian News-Express,Pikeville,Ky.,Kentucky
Oakdale Leader,Oakdale,Calif.,California
Aspen Times,Aspen,Colo.,Colorado
Current of Northfield/Linwood/Somers Point,Northfield,N.J.,New Jersey
Midweek Reporter,Hoboken,N.J.,New Jersey
Providence American,Providence,R.I.,Rhode Island
Lombardian,Lombard,Ill.,Illinois
Kennebunk Post,Kennebunk,Maine,Maine
SUNThisweek Egan-Burnsville,Burnsville,Minn.,Minnesota
Duluth-Zenith City Weekly,Duluth,Minn.,Minnesota
Daily Independent,Ashland,Ky.,Kentucky
Martinez News-Gazette,Martinez,Calif.,California
Enid News & Eagle,Enid,Okla.,Oklahoma
Placentia News-Times,Placentia,Calif.,California
Daily News Leader,Staunton,Va.,Virginia
North Kitsap Herald,Poulsbo,Wash.,Washington
Star-Beacon,Ashtabula,Ohio,Ohio
Oshkosh Northwestern,Oshkosh,Wisc.,Wisconsin
Stillwater Valley Advertiser,Covington,Ohio,Ohio
Queens Ledger,Queens,N.Y.,New York
Addison Eagle News And Reporter,Middlebury,Vt.,Vermont
Fairfield Town Crier,Fairfield,Iowa,Iowa
Daily Times Chronicle,Woburn,Mass.,Massachusetts
Bethel Journal The,Bethel,Ohio,Ohio
Forest Hills Journal,Anderson,Ohio,Ohio
Eastern Hills Journal,Loveland,Ohio,Ohio
Milford-Miami Advertiser,Milford,Ohio,Ohio
Community Journal Clermont,Loveland,Ohio,Ohio
Loveland Herald,Loveland,Ohio,Ohio
Community Journal North Clermont,Loveland,Ohio,Ohio
Ruston Daily Leader,Ruston,La.,Louisiana
Sun Journal The,New Bern,N.C.,North Carolina
Hays Daily News,Hays,Kan.,Kansas
Kewaunee County Star News,Kewaunee,Wisc.,Wisconsin
Plum Advance Leader Star,Pittsburgh,Pa.,Pennsylvania
Holland Sentinel The,Holland,Mich.,Michigan
Harbor News,Clinton,Conn.,Connecticut
Bradford Era The,Bradford,Pa.,Pennsylvania
Advance News,Ogdensburg,N.Y.,New York
Cleveland Daily Banner,Cleveland,Tenn.,Tennessee
Smyrna/Vinings Neighbor,Smyrna,Ga.,Georgia
Kenton Community Recorder,Kenton,Ky.,Kentucky
Current of Galloway Township,Galloway Township,N.J.,New Jersey
Aledo Times Record,Aledo,Ill.,Illinois
Fostoria Focus,Fostoria,Ohio,Ohio
News Observer,Blue Ridge,Ga.,Georgia
Herald,Jasper,Ind.,Indiana
Montana Standard The,Butte,Mont.,Montana
Livonia Observer,Livonia,Mich.,Michigan
News Reporter,Whiteville,N.C.,North Carolina
News of Delaware County,Holmes,Pa.,Pennsylvania
Shaler Journal,Glenshaw,Pa.,Pennsylvania
Times-Mail/ Sunday Hoosiertimes,Bedford,Ind.,Indiana
Cliffside Park Citizen,Cliffside Park,N.J.,New Jersey
Old Colony Memorial,Plymouth,Mass.,Massachusetts
Ag Journal,La Junta,Colo.,Colorado
Peshtigo Times,Peshtigo,Wisc.,Wisconsin
Bee,Phillips,Wisc.,Wisconsin
Park Falls Herald,Park Falls,Wisc.,Wisconsin
East Haven Courier,East Haven,Conn.,Connecticut
Wilson Daily Times,Wilson,N.C.,North Carolina
North Country This Week,Potsdam,N.Y.,New York
Vail Daily News,Vail,Colo.,Colorado
Hermiston Herald,Hermiston,Ore.,Oregon
Gettysburg Times,Gettysburg,Pa.,Pennsylvania
Powell Valley News Weekender,Pennington Gap,Va.,Virginia
Planter The,Apopka,Fla.,Florida
Lincoln Times-News,Lincolnton,N.C.,North Carolina
Caldwell Weekly,Lenoir,N.C.,North Carolina
Amelia Bulletin Monitor,Amelia Court House,Va.,Virginia
Crofton-West County Gazette,Crofton,Md.,Maryland
Kansas City Star The,Kansas City,Mo.,Missouri
Kansas City Globe,Kansas City,Mo.,Missouri
Farmer's Report,Rochelle,Ill.,Illinois
Bugle,Niles,Ill.,Illinois
Beacon Hill Times The,Boston,Mass.,Massachusetts
Hour,Norwalk,Conn.,Connecticut
Northern Light,Blaine,Wash.,Washington
West Milford Messenger,West Milford,N.J.,New Jersey
Lancaster News,Lancaster,S.C.,South Carolina
Times-Leader,Martins Ferry,Ohio,Ohio
White Lake Beacon,Whitehall,Mich.,Michigan
Priest River Times,Priest River,Idaho,Idaho
News-Times,Newport,Ore.,Oregon
North Georgia News,Blairsville,Ga.,Georgia
Merrimack Journal,Merrimack,N.H.,New Hampshire
Blue Pacific News,Santa Monica,Calif.,California
Daily Republic,Fairfield,Calif.,California
Mining Journal,Marquette,Mich.,Michigan
Morgan Hill Times,Morgan Hill,Calif.,California
Sun,Choctaw,Okla.,Oklahoma
Riverdale Press,Bronx,N.Y.,New York
Napa Valley Register,Napa,Calif.,California
New Hampton Tribune,New Hampton,Iowa,Iowa
Courier The,Houma,La.,Louisiana
Daily Journal,Vineland,N.J.,New Jersey
Niagara-Wheatfield Tribune,Niagara Falls,N.Y.,New York
Shoreview Press,Shoreview,Minn.,Minnesota
Aliso Viejo News,Aliso Viejo,Calif.,California
Denton Record-Chronicle,Denton,Texas,Texas
View from Western Howard County,Ellicott City,Md.,Maryland
Register-News,Mount Vernon,Ill.,Illinois
Times & Democrat,Orangeburg,S.C.,South Carolina
Carteret County News-Times,Morehead City,N.C.,North Carolina
Alexandria Gazette Packet,Alexandria,Va.,Virginia
South Boston Gazette-Virginian,South Boston,Va.,Virginia
Southwest Times,Pulaski,Va.,Virginia
Boonville Weekly News,Boonville,Mo.,Missouri
Houston Herald,Houston,Mo.,Missouri
Cadillac News,Cadillac,Mich.,Michigan
Courier News,Bridgewater,N.J.,New Jersey
Mukilteo Beacon,Mulkiteo,Wash.,Washington
Gresham Outlook,Gresham,Ore.,Oregon
Meadville Tribune,Meadville,Pa.,Pennsylvania
Jacksonville Journal-Courier,Jacksonville,Ill.,Illinois
Canarsie Digest,Brooklyn,N.Y.,New York
Huber Heights Courier,Huber Heights,Ohio,Ohio
Daily Republic,Mitchell,S.D.,South Dakota
Fontana Herald News,Fontana,Calif.,California
Niagara Gazette,Niagara Falls,N.Y.,New York
South Pittsburg Hustler,South Pittsburg,Tenn.,Tennessee
Tantasqua Town Common,Tantasqua,Mass.,Massachusetts
Edmonds Beacon,Edmonds,Wash.,Washington
Eufaula Tribune,Eufaula,Ala.,Alabama
Corvallis Gazette-Times,Corvallis,Ore.,Oregon
Culpepper Times,Culpepper,Va.,Virginia
West Shore Sun News,North Olmsted,Ohio,Ohio
Jackson Sun,Jackson,Tenn.,Tennessee
Daily News,Batavia,N.Y.,New York
Elk Valley Times,Fayetteville,Tenn.,Tennessee
Flagler/Palm Coast News-Tribune,Bunnell,Fla.,Florida
Bedford Bulletin The,Bedford,N.H.,New Hampshire
Chicago Defender,Chicago,Ill.,Illinois
Sentinel,Belchertown,Mass.,Massachusetts
Aim West Milford,West Milford,N.J.,New Jersey
Lebanon Daily News,Lebanon,Pa.,Pennsylvania
Clare County Review,Clare,Mich.,Michigan
Morning Sun,Mount Pleasant,Mich.,Michigan
Freeman The,Waukesha,Wisc.,Wisconsin
Monmouth Journal,Red Bank,N.J.,New Jersey
Kendall Gazette,Kendall,Fla.,Florida
Progress Times,Mission,Texas,Texas
South Texas Reporter,Roma,Texas,Texas
Seminole Voice,Oviedo,Fla.,Florida
Louisiana Weekly,New Orleans,La.,Louisiana
Alexandria News Weekly,Alexandria,La.,Louisiana
Advertiser News,Hattiesburg,Miss.,Mississippi
Columbus Times,Columbus,Ga.,Georgia
Times Extra,Georgetown,S.C.,South Carolina
Fayette Chronicle,Fayetteville,Ga.,Georgia
Gardena Valley News,Gardena,Calif.,California
San Bernandino American News,San Bernardino,Calif.,California
La Canada Valley Sun,La Canada,Calif.,California
Cherokee Tribune Plus,Canton,Ga.,Georgia
San Fernando Valley Sun,San Fernando,Calif.,California
Greer Citizen,Greer,S.C.,South Carolina
Daily Post-Athenian,Athens,Tenn.,Tennessee
Denver Weekly News,Denver,N.C.,North Carolina
Murfreesboro Post,Murfreesboro,Tenn.,Tennessee
Nashville Ledger,Nashville,Tenn.,Tennessee
Russell County News-Register,Russell Springs,Ky.,Kentucky
Colonial Voice,Colonial Heights,Va.,Virginia
Cash-Book Journal/ Weekender,Jackson,Mo.,Missouri
Cullman Times The,Cullman,Ala.,Alabama
Huntingburg Press,Huntingburg,Ind.,Indiana
Bayside Gazette,Berlin,Md.,Maryland
Dorchester Star,Cambridge,Md.,Maryland
Montgomery County Sentinel,Rockville,Md.,Maryland
Bedford Gazette,Bedford,Pa.,Pennsylvania
Daily Standard,Celina,Ohio,Ohio
Morton Courier The,Morton,Ill.,Illinois
Canarsie Courier,Brooklyn,N.Y.,New York
Brooklyn Daily Eagle,Brooklyn,N.Y.,New York
Brooklyn Record,Brooklyn,N.Y.,New York
Commack News,Commack,N.Y.,New York
Bronx News The,Bronx,N.Y.,New York
Observer,Northport,N.Y.,New York
Rockland County Times,Nanuet,N.Y.,New York
West Hartford News,West Hartford,Conn.,Connecticut
Holyoke Sun,Holyoke,Mass.,Massachusetts
Boone County Journal,Belvidere,Ill.,Illinois
Lynn Journal,Lynn,Mass.,Massachusetts
Rochester Clarion,Rochester,Mich.,Michigan
Sun and Erie County Independent,Hamburg,N.Y.,New York
Buffalo Criterion,Buffalo,N.Y.,New York
Country Folks - East Zone,Palatine Bridge,N.Y.,New York
Mountain Times,Killington,Vt.,Vermont
Camas-Washougal Post-Record,Camas,Wash.,Washington
Midweek Express,Bowling Green,Ky.,Kentucky
Sauk Rapids Herald,Sauk Rapids,Minn.,Minnesota
Nutfield News,Londonberry,N.H.,New Hampshire
Sun Sentinel,North Olmsted,Ohio,Ohio
Rancho Santa Margarita News,Rancho Santa Margarita,Calif.,California
Tylertown Times,Tylertown,Miss.,Mississippi
North Dallas Gazette,Plano,Texas,Texas
Jefferson Standard-Banner,Jefferson,Tenn.,Tennessee
District Chronicles,Washington,D.C.,District of Columbia
Star-Herald,Scottsbluff,Neb.,Nebraska
Source,Madison,Conn.,Connecticut
Pine Creek Journal,Gibsonia,Pa.,Pennsylvania
Daily Guide,Waynesville,Mo.,Missouri
Southern Standard,McMinnville,Tenn.,Tennessee
Hobbs News-Sun,Hobbs,N.M.,New Mexico
Sierra Vista Herald,Sierra Vista,Ariz.,Arizona
Journal of Pocono Plateau,White Haven,Pa.,Pennsylvania
Lake County Journal,Grayslake,Ill.,Illinois
Recorder,Greenfield,Mass.,Massachusetts
Kentucky Standard,Bardstown,Ky.,Kentucky
Mid-York Weekly The,Hamilton,N.Y.,New York
Ellsworth American,Ellsworth,Maine,Maine
Lakeland Times,Minocqua,Wisc.,Wisconsin
Daily Home The,Talladega,Ala.,Alabama
Village Times Herald,Setauket,N.Y.,New York
Rose Garden Resident,San Jose,Calif.,California
Argus,Butler,N.J.,New Jersey
Camden Herald,Camden,Maine,Maine
Oakdale Lake Elmo Review,Oakdale,Minn.,Minnesota
Times Recorder,Zanesville,Ohio,Ohio
Dallas Examiner,Dallas,Texas,Texas
Hamilton-Robbinsville Observer,Hamilton,N.J.,New Jersey
Burgh,Elizabethtown,N.Y.,New York
Wentzville Journal,Wentzville,Mo.,Missouri
Wamego Smoke Signal,Wamego,Kan.,Kansas
Jersey City Reporter The,Jersey City,N.J.,New Jersey
Vicksburg Post,Vicksburg,Miss.,Mississippi
Hudson Hub-Times,Hudson,Ohio,Ohio
Portsmouth Herald,Portsmouth,N.H.,New Hampshire
Monett Times,Monett,Mo.,Missouri
Southington Citizen,Southington,Conn.,Connecticut
Bridgeport News,Bridgeport,Conn.,Connecticut
Lodi News-Sentinel,Lodi,Calif.,California
Monadnock Ledger-Transcript,Peterborough,N.H.,New Hampshire
Lake Area Press,Detroit Lakes,Minn.,Minnesota
Finger Lakes Times,Geneva,N.Y.,New York
Lassen County Times,Susanville,Calif.,California
Frankfort Station,Frankfort,Ill.,Illinois
Jackson Herald,Jefferson,Ga.,Georgia
Herald-News,Dayton,Tenn.,Tennessee
Wake Forest Weekly,Wake Forest,N.C.,North Carolina
Dodge City Daily Globe,Dodge City,Kan.,Kansas
Bartlett Examiner,Bartlett,Ill.,Illinois
Daily Journal,Seneca,S.C.,South Carolina
Londonberry Times,Londonberry,N.H.,New Hampshire
Washington Times-Reporter,Washington,Ill.,Illinois
Ashland Times Gazette,Ashland,Ohio,Ohio
Caledonian-Record,St Johnsbury,Vt.,Vermont
Merced Sun-Star,Merced,Calif.,California
Watertown Public Opinion,Watertown,S.D.,South Dakota
North Macomb Voice,New Baltimore,Mich.,Michigan
Burke Times,Burke,Va.,Virginia
Pelham News,Pelham,N.H.,New Hampshire
Livingston County Daily Press & Argus,Howell,Mich.,Michigan
Big Bear Grizzly,Big Bear Lake,Calif.,California
Door County Advocate,Sturgeon Bay,Wisc.,Wisconsin
Eastex News,Cleveland,Texas,Texas
El Dorado Hills Telegraph,Folsom,Calif.,California
Summit Daily News,Frisco,Colo.,Colorado
Peru Tribune,Peru,Ind.,Indiana
Pioneer Press News Star,Oak Park,Ill.,Illinois
Brainerd Dispatch,Brainerd,Minn.,Minnesota
Daily Star The/ Sunday Star,Hammond,La.,Louisiana
Chatham News,Siler City,N.C.,North Carolina
Effingham Daily News,Effingham,Ill.,Illinois
Richfield Sun-Current,Richfield,Minn.,Minnesota
ThisWeek Canal Winchester Times,Canal Winchester,Ohio,Ohio
Logan Banner,Logan,W.Va.,West Virginia
News-Capital,McAlester,Okla.,Oklahoma
Midland Daily News,Midland,Mich.,Michigan
Adelante Valle,El Centro,Calif.,California
Ashe Mountain Times,West Jefferson,N.C.,North Carolina
Healdsburg Tribune,Healdsburg,Calif.,California
Coastland Times,Havelock,N.C.,North Carolina
Port Times-Record,Port Jefferson,N.Y.,New York
Mount Greenwood Express,Chicago,Ill.,Illinois
Orlando Times,Orlando,Fla.,Florida
Leaf-Chronicle,Clarksville,Tenn.,Tennessee
Gulf Breeze News,Gulf Breeze,Fla.,Florida
Scott County Times,Forest,Miss.,Mississippi
Manhattan Mercury,Manhattan,Kan.,Kansas
Taylorville Daily Breeze-Courier,Taylorville,Ill.,Illinois
Canyon Courier,Evergreen,Colo.,Colorado
Leader The,Corning,N.Y.,New York
Argus,Burlington,Wash.,Washington
Jenks District Gazette,Jenks,Okla.,Oklahoma
Greenbelt News Review,Greenbelt,Md.,Maryland
Lockport Legend,Lockport,Ill.,Illinois
Berkeley Voice,Berkeley,Calif.,California
Santa Maria Sun,Santa Maria,Calif.,California
Daily Advance,Elizabeth City,N.C.,North Carolina
Times Herald,Norristown,Pa.,Pennsylvania
Haynesville News,Haynesville,La.,Louisiana
Taos News,Taos,N.M.,New Mexico
Romeo Observer,Romeo,Mich.,Michigan
Killingly Villager,Woodstock,Conn.,Connecticut
Swartz Creek News,Swartz Creek,Mich.,Michigan
Gazette The,Port Jervis,N.Y.,New York
Muskogee Phoenix &Times-Democrat,Muskogee,Okla.,Oklahoma
Daily Iberian,New Iberia,La.,Louisiana
Monroe Enquirer Journal,Monroe,N.C.,North Carolina
Democrat-Reporter,Linden,Ala.,Alabama
Up & Coming Weekly,Fayetteville,N.C.,North Carolina
Elizabethton Star,Elizabethton,Tenn.,Tennessee
Fall River Spirit,Fall River,Mass.,Massachusetts
Herald-Citizen,Cookeville,Tenn.,Tennessee
Suburban Trends,Passaic,N.J.,New Jersey
Cibola Beacon,Grants,N.M.,New Mexico
Daily Jeffersonian,Cambridge,Ohio,Ohio
Mountaineer,Waynesville,N.C.,North Carolina
FM Extra,Moorhead,Minn.,Minnesota
Pharos-Tribune,Logansport,Ind.,Indiana
Ottumwa Courier,Ottumwa,Iowa,Iowa
Times-Herald The,Newnan,Ga.,Georgia
Lexington Progress,Lexington,Tenn.,Tennessee
Monitor The,Sutherland,Va.,Virginia
Sun Post News,San Clemente,Calif.,California
Norman Transcript,Norman,Okla.,Oklahoma
Watertown Daily Times,Watertown,Wisc.,Wisconsin
Herald-Star,Steubenville,Ohio,Ohio
Palladium-Item,Richmond,Ind.,Indiana
Wilson County News,Floresville,Texas,Texas
Landmark The,Holden,Mass.,Massachusetts
Daily News,Huntingdon,Pa.,Pennsylvania
Courier,Savannah,Tenn.,Tennessee
Downriver Voice,Marine City,Mich.,Michigan
Courier-Times,Sedro-Woolley,Wash.,Washington
Public Opinion,Chambersburg,Pa.,Pennsylvania
Sun Messenger,Beachwood,Ohio,Ohio
Paris Daily Beacon-News,Paris,Ill.,Illinois
Saratoga News,Saratoga,Calif.,California
Berlin Citizen,Berlin,Conn.,Connecticut
Harbor Country News,Michigan City,Ind.,Indiana
Harbor Country News,New Buffalo,Mich.,Michigan
Winnisquam Echo,Tilton,N.H.,New Hampshire
North Ft Myers Neighbor,Fort Myers,Fla.,Florida
Register-Mail The,Galesburg,Ill.,Illinois
Carolina Gateway,Lancaster,S.C.,South Carolina
Punta Gorda/Port Charlotte Florida Weekly,Porta Gorda,Fla.,Florida
Courier-Times The,New Castle,Ind.,Indiana
Kearney Hub,Kearney,Neb.,Nebraska
Las Vegas Sentinel-Voice,Las Vegas,Nev.,Nevada
Vineyard Gazette,Edgartown,Mass.,Massachusetts
Mesabi Daily News,Virginia,Minn.,Minnesota
Calvert Recorder,Prince Frederick,Md.,Maryland
Bellefontaine Examiner,Bellefontaine,Ohio,Ohio
Argus-Press,Owosso,Mich.,Michigan
Yukon Review,Yukon,Okla.,Oklahoma
Amador Ledger-Dispatch,Jackson,Calif.,California
Iowa City Press-Citizen,Iowa City,Iowa,Iowa
Record Journal,Hammonton,N.J.,New Jersey
South Oakland Eccentric,Southfield,Mich.,Michigan
Liberty Gazette,Liberty,Texas,Texas
Atmore Advance,Atmore,Ala.,Alabama
Carolina Peacemaker,Greensboro,N.C.,North Carolina
Wave The,Queens,N.Y.,New York
Bedford Journal,Bedford,N.H.,New Hampshire
Advertiser Community News &Times Press,Seymour,Wisc.,Wisconsin
Mount Vernon News,Mount Vernon,Ohio,Ohio
Rogersville Review,Rogersville,Tenn.,Tennessee
Prior Lake American,Prior Lake,Minn.,Minnesota
Silver City Daily Press & Independent,Silver City,N.M.,New Mexico
Town News,Ridgewood,N.J.,New Jersey
Batesville Daily Guard,Batesville,Ark.,Arkansas
Nantucket Inquirer-Mirror,Nantucket,Mass.,Massachusetts
Gowanda News,Gowanda,N.Y.,New York
Daily News-Journal,Murfreesboro,Tenn.,Tennessee
Northeast Georgian,Cornelia,Ga.,Georgia
Cottonwood Journal Extra,Cottonwood,Ariz.,Arizona
Tifton Gazette,Tifton,Ga.,Georgia
Ozaukee Press,Port Washington,Wisc.,Wisconsin
Times of Ticonderoga,Ticonderoga,N.Y.,New York
Garden Island The,Lihu'e,Hawaii,Hawaii
Daily Sentinel,Rome,N.Y.,New York
South Florida Sun-Sentinel,Fort Lauderdale,Fla.,Florida
Sunday Sun,Georgetown,Texas,Texas
Williamson County Sun,Georgetown,Texas,Texas
Webster Progress-Times,Eupora,Miss.,Mississippi
Leisure World Golden Rain News,Seal Beach,Calif.,California
Lake Murray News,Irmo,S.C.,South Carolina
Carbondale Times,Carbondale,Ill.,Illinois
Press and Journal,Middletown,Pa.,Pennsylvania
Villa Park Argus,Villa Park,Ill.,Illinois
Sourthwick Suffield News,Feeding Hills,Mass.,Massachusetts
Goffstown News,Goffstown,N.H.,New Hampshire
Lincoln County News,Damariscotta,Maine,Maine
Review,Alliance,Ohio,Ohio
Petoskey News-Review,Petoskey,Mich.,Michigan
Independent-Register,Brodhead,Wisc.,Wisconsin
Signal,Santa Clarita,Calif.,California
South Pierce County DispatchThe,Eatonville,Wash.,Washington
Brooklyn Graphic,Brooklyn,N.Y.,New York
Hood County News,Granbury,Texas,Texas
Herald The,Chicago,Ill.,Illinois
Tribune,Seymour,Ind.,Indiana
Auburn Journal The,Auburn,Calif.,California
Berlin Daily Sun,Berlin,N.H.,New Hampshire
Suffolk Times The,Mattituck,N.Y.,New York
Monroe Times,Monroe,Wisc.,Wisconsin
Corner News,Auburn,Ala.,Alabama
St Louis Post-Dispatch,St Louis,Mo.,Missouri
Spectrum,Buffalo,N.Y.,New York
Scarborough Leader,Scarborough,Maine,Maine
Sentinel,Lewistown,Pa.,Pennsylvania
Northern Virginia Daily,Strasburg,Va.,Virginia
World,Coos Bay,Ore.,Oregon
Brooklyn Spectator The,Brooklyn,N.Y.,New York
Kennebec Journal The,Augusta,Maine,Maine
Farmington Observer,Livonia,Mich.,Michigan
Tri-County Press,Cincinnati,Ohio,Ohio
Aim Vernon,Vernon,N.J.,New Jersey
Early County News,Blakely,Ga.,Georgia
Lufkin Daily News,Lufkin,Texas,Texas
Greenwich Post,Greenwich,Conn.,Connecticut
Grand Haven Tribune,Grand Haven,Mich.,Michigan
Progress,Clearfield,Pa.,Pennsylvania
Times-Virginian,Appomattox,Va.,Virginia
Princeton Daily Clarion,Princeton,Ind.,Indiana
East St. Louis Monitor,East St Louis,Ill.,Illinois
Oquirrh Times,Magna,Utah,Utah
Stonington Times,Stonington,Conn.,Connecticut
Guilford Courier,Guilford,Conn.,Connecticut
Nassau Herald,Lawrence,N.Y.,New York
Ithaca Journal,Ithaca,N.Y.,New York
Madison County Record,Madison,Ala.,Alabama
Mount Vernon Gazette,Alexandria,Va.,Virginia
Carmichael Times,Carmichael,Calif.,California
Progress-Index The,Petersburg,Va.,Virginia
Geneva Republican,Geneva,Ill.,Illinois
Daily Reporter,Greenfield,Ind.,Indiana
Courier-News,Elgin,Ill.,Illinois
Essex Reporter The,Essex Junction,Vt.,Vermont
Sentinel & Enterprise,Fitchburg,Mass.,Massachusetts
Burlington Standard Press,Burlington,Wisc.,Wisconsin
Tri-Town Times,Londonberry,N.H.,New Hampshire
Morning Journal,Lisbon,Ohio,Ohio
Upper Dauphin Sentinel,Dauphin,Pa.,Pennsylvania
Commercial-News,Danville,Ill.,Illinois
The Wyandotte Daily News,Kansas City,Kan.,Kansas
Roane County News,Kingston,Tenn.,Tennessee
Newton Press Mentor,Newton,Ill.,Illinois
Columbia Daily Herald,Columbia,Tenn.,Tennessee
